term,furigana,definition,notes,warnings,example1,example2
個人,こじん,ひとりの人間。,,,,
国旗,こっき,国を代表する印としての旗。,,,,
国境,こっきょう,国と国との境。,,,,
骨折,こっせつ,外からの力が加わり、骨が折れること。,,,スキーで転んで足を骨折する。,手を骨折したので病院へ行く。
固定,こてい,一つの場所から動かないようにすること。,,,,
古典,こてん,昔作られ、現在でも価値のある書物。,,,古典文学を味わう。,古典文学を研究する。
粉薬,こなぐすり,粉の薬。,,,,
米倉,こめぐら,米をしまっておく倉。,,,,
今晩,こんばん,今日の晩。今夜。,,,,
再開,さいかい,長い間会わなかった人どうしがまた会うこと。,,,,
災害,さいがい,台風や地しんなどによって受ける、思いがけない悪いこと。,,,,
細工,さいく,細かいものを手で作ること。,,,,
財産,ざいさん,家・お金・宝石などのねうちのあるもの。,,,,
最初,さいしょ,いちばん初め。,,,,
裁判,さいばん,争いやうったえを法律によってさばくこと。,,,,
昨日,さくじつ,今日より一日前の日。,特別な読みで、「きのう」とも読む。,,,
昨年,さくねん,今年の前の年。去年。,,,,
座席,ざせき,すわる場所。すわる席。,,,,
左折,させつ,車や自転車などが、角で左に曲がること。,,,,
雑音,ざつおん,じゃまになる音。,,,,
雑草,ざっそう,自然に生えるいろいろな草。,,,,
参加,さんか,仲間に加わること。,,,,
参考,さんこう,他のものと比べて考える助けにすること。,,,,
賛成,さんせい,人の意見に対し、自分も同じだと認めること。,,,,
山頂,さんちょう,山の頂上。,,,,
賛同,さんどう,人の意見に賛成して同意すること。,,,,
参拝,さんぱい,神社や寺に参ること。,,,,
散歩,さんぽ,気楽にぶらぶらと歩くこと。,,,,
酸味,さんみ,すっぱい味。,,,,
山脈,さんみゃく,山地が、細長く連なっているもの。,,,,
試合,しあい,スポーツなどの勝負。,,,,
飼育,しいく,動物を飼って育てること。,,,,
司会,しかい,会の進行を中心になってすること。また、その役。,,,,
資格,しかく,ある職業や身分につくのに必要な事がら。,,,,
四季,しき,春・夏・秋・冬の四つの季節。,,,,
指揮,しき,人々の動きなどを指図してまとめること。,,,,
試験,しけん,学力や能力を試すために、問題を出して答えさせること。,,,,
自己,じこ,自分。自身。,,,,
時刻,じこく,何時何分というように、ある決まった時。,,,,
指示,しじ,指し示すこと。,,,,
辞書,じしょ,辞典。,,,辞書を引く。,フランス語の辞書を買う。
自信,じしん,自分の値うちや力などを信じること。,,,,
姿勢,しせい,体の構え方。格好。,,,,
自然,しぜん,人間がつくったものを除いた全てのもの。,,,,
子孫,しそん,先祖から同じ血すじでつながっている人々。,,,,
自治,じち,自分たちのことを自分たちで決めて行うこと。,,,,
実験,じっけん,正しいかどうか、実際にやって確かめること。,,,,
失敗,しっぱい,思ったとおりにできないこと。,,,,
質問,しつもん,わからないことなどをたずねること。,,,,
失礼,しつれい,礼儀に欠けていること。,,,,
辞典,じてん,言葉を一定の規則に従って並べ、意味などを説明した本。,,,漢字辞典を引く。,国語辞典を買う。
事典,じてん,いろいろなことがらを一定の規則に従って並べ、意味を説明した本。,,,百科事典を買ってもらう。,百科事典は知識の宝庫だ。
児童,じどう,小学生。,,,,
死亡,しぼう,死ぬこと。,,,,
志望,しぼう,こうしたい、こうなりたいと望むこと。,,,,
清水,しみず,地面などからわき出てくる、すんでいてきれいな水。,,,,
市民,しみん,市に住んでいる人。,,,,
氏名,しめい,名字と名前。,,,,
車輪,しゃりん,車の輪。,,,,
謝礼,しゃれい,お礼の気持を表すためのもの。,,,,
周囲,しゅうい,ある物のまわり。取り巻いている人や物。,,,,
習慣,しゅうかん,いつもくり返してすること。,,,,
住居,じゅうきょ,住んでいる場所。家。,,,,
宗教,しゅうきょう,神や仏を信じ安心や幸福を得ようとすること。また、その教え。,,,,
就職,しゅうしょく,職業につくこと。,,,,
住宅,じゅうたく,人が住むための家。住居。,,,,
縦断,じゅうだん,縦の方向にたち切ること。縦や南北の方向に通り抜けること。,,,,
修復,しゅうふく,こわれたところを直して、元どおりにすること。,,,,
週末,しゅうまつ,一週間の終わりのころ。,,,,
修理,しゅうり,こわれたところを直すこと。,,,,
授業,じゅぎょう,学校で勉強を教えること。,,,国語の授業。,授業を受ける。
祝賀,しゅくが,めでたいこととして喜び祝うこと。,,,,
祝日,しゅくじつ,祝いの日。国が定めた国民の祝日。,,,,
宿舎,しゅくしゃ,とまるための建物。宿。,,,,
祝福,しゅくふく,人の幸せを祝うこと。,,,,
主語,しゅご,文の中で「何が」「何は」にあたる語。,,,文の主語。,主語と述語。
手術,しゅじゅつ,医師が病人を治すために、体の悪い部分を取ったりする方法。,,,,
出演,しゅつえん,映画や演劇などに出ること。,,,,
出欠,しゅっけつ,出席と欠席。,,,授業の初めに出欠を取る。,先生がクラスの出欠確認をする。
述語,じゅつご,文の中で、主語の動作やありさまを述べる部分の言葉。,,,主語と述語。,述語は、文の中で、どうする・どんなだ・なんだ・ある（いる・ない）を意味する言葉です。
出席,しゅっせき,授業や会合などに出ること。,,,授業に出席する。,出席日数が足りない。
樹木,じゅもく,地面に生えている木。,,,,
順序,じゅんじょ,ある一定の決まった並び方。,,,,
順番,じゅんばん,順序に従って、かわるがわる物事にあたること。または、その順序。,,,,
準備,じゅんび,前もって用意すること。,,,,
蒸気,じょうき,液体などが蒸発して気体になったもの。,,,,
情景,じょうけい,見えたり、感じたりする景色や様子。,,,,
条件,じょうけん,成り立つために必要なことがら。,,,,
乗車,じょうしゃ,車に乗ること。,,,始発駅から乗車する。,たくさんの人が乗車している。
情勢,じょうせい,物事が変化していく様子。,,,,
招待,しょうたい,客を招いて、もてなすこと。,,,,
状態,じょうたい,物事のありさまや様子。,,,,
承知,しょうち,相手のたのみを聞き入れること。,,,,
消毒,しょうどく,薬や熱などによって、細きんを殺すこと。,,,,
勝敗,しょうはい,勝つことと敗れること。,,,ゲームの勝敗を争う。,サッカーの試合の勝敗。
蒸発,じょうはつ,液体がその表面から気体になること。,,,,
照明,しょうめい,光を照らして明るくすること。電灯などの人工的な光で明るくすること。,,,,
省略,しょうりゃく,省いて短くすること。,,,,
初夏,しょか,夏のはじめのころ。,,,,
食塩,しょくえん,食用の塩。,,,,
職業,しょくぎょう,暮らしていくために、人がついている決まった仕事。,,,,
食堂,しょくどう,食事をするための部屋。また、食事を出す店。,,,,
食費,しょくひ,食事にかかるお金。,,,,
食欲,しょくよく,食べたいと思う気持ち。,,,,
初秋,しょしゅう,秋のはじめのころ。,,,,
初日,しょにち,もよおし物などの最初の日。,,,,
飼料,しりょう,家ちくのえさ。,,,,
信号,しんごう,道路や鉄道などで、進行してよいかどうか知らせる機械。,,,,
人工,じんこう,人間が手を加えること。手を加えたもの。,,,,
心臓,しんぞう,体全体に血液を送る働きをする器官。,,,,
神秘,しんぴ,理解できないような不思議なこと。,,,,
新芽,しんめ,新しく出た草木の芽。,,,,
人類,じんるい,人間全体をさして言う言葉。,,,,
頭痛,ずつう,頭が痛むこと。,,,,
砂場,すなば,砂遊びができるようにした所。,,,,
頭脳,ずのう,物事を考える頭の働き。知力。,,,,
巣箱,すばこ,小鳥がすめるように、木などにかけておく箱。,,,,
寸前,すんぜん,あることの起こるほんの少し前。,,,,
成果,せいか,あることをして得た、よい結果。,,,,
正確,せいかく,正しくてまちがいのないこと。,,,,
世紀,せいき,西洋のこよみで、百年を一区切りとする年代の数え方。,,,,
正義,せいぎ,人間としてしなければならない正しい行い。,,,,
成功,せいこう,思ったとおりにうまくいくこと。,,,,
正座,せいざ,姿勢を正し、ひざをそろえてすわること。,,,,
政治,せいじ,国を治めること。,,,,
誠実,せいじつ,考え方や態度が真面目で、まごころがこもっている様子。,,,,
成績,せいせき,成しとげたことの結果。勉強や試験の結果。,,,,
成長,せいちょう,人や動物が、育って大きくなること。,,,,
晴天,せいてん,晴れた空。よい天気。,,,,
生徒,せいと,学校などで、教えを受ける人。,,,,
制度,せいど,国や団体などを運営していくために定めたきまりやしくみ。,,,,
製品,せいひん,作られた品物。,,,,
制服,せいふく,学校・会社などで決められた衣服。,,,,
積雪,せきせつ,降り積もった雪。,,,,
責任,せきにん,背負わなければならないつとめ。,,,,
赤飯,せきはん,もち米にあずきを入れてむしたご飯。,,,,
世代,せだい,親から子、孫へと続いていくそれぞれの代。,,,,
節分,せつぶん,季節の変わり目。また、立春の前の日。,,,,
説明,せつめい,よくわかるように話して聞かせること。,,,,
世話,せわ,人や動物のめんどうをみること。,,,,
善意,ぜんい,人のことを思いやる気持ち。,,,,
選挙,せんきょ,大勢の中から代表などを選ぶこと。,,,,
宣言,せんげん,考えなどを多くの人に向けて告げること。,,,,
選手,せんしゅ,協議会や試合などに選ばれて出場する人。,,,,
戦争,せんそう,国どうしが武力を使って争うこと。,,,,
銭湯,せんとう,入浴料を取って、人を入浴させるふろ屋。,,,,
増加,ぞうか,数や量が増えること。,,,人口が増加する国。,米の生産量が増加する。
臓器,ぞうき,体内の胸や腹の中にある器官。,,,,
倉庫,そうこ,物を保管するための建物。,,,,
操作,そうさ,機械などを動かすこと。,,,,
創作,そうさく,作品などを、初めて作り出すこと。,,,創作活動を行う。,創作料理を作る。
創造,そうぞう,新しいものを初めて作り出すこと。,,,みずからの力によって創造する。,新しい文化を創造するのは大変な仕事だ。
側面,そくめん,正面に対して、横の面。,,,,
組織,そしき,人や物を集め、組み立てること。また、組み立てられたもの。,,,,
祖先,そせん,その家の、今生きている人より前の代の人々。,,,,
卒業,そつぎょう,学校で決められている勉強を全て終えて、学校を去ること。,,,兄が卒業する。,明日は卒業式だ。
外側,そとがわ,ある物や仕切りの、外のほう。,,,,
損害,そんがい,ものがこわれたり、なくなったりして損をすること。,,,,
尊敬,そんけい,相手のことを立派だと思い、敬うこと。,,,,
存在,そんざい,ものがあること。人がいること。,,,,
損失,そんしつ,商売などでもうけを失うこと。,,,,
大群,たいぐん,動物などが多く集まってつくる群れ。,,,,
対策,たいさく,ある問題などに対してどうすればよいかという方法。,,,,
退職,たいしょく,勤めていた職場をやめること。,,,,
大臣,だいじん,内閣をつくって、国の政治にたずさわる人。,,,,
隊長,たいちょう,隊を指揮する人。,,,,
態度,たいど,思っていることが表れた、その人の身ぶりやふるまい。,,,,
対比,たいひ,二つのものを比べて、ちがいを調べること。,,,,
台風,たいふう,熱帯低気圧の一つ。暴風雨をともない、災害を引き起こすこともある。,,,,
段階,だんかい,物事の区切り。,,,,
探検,たんけん,危険をおかして、いろいろなことを調べること。,,,,
短縮,たんしゅく,長さや時間を縮めること。,,,,
誕生,たんじょう,生き物や新しいものが、生まれること。,,,,
団体,だんたい,同じ目的で集まった人々。,,,,
担当,たんとう,一定のことがらを受け持つこと。,,,,
担任,たんにん,ある役目を責任をもって引き受けること。また、学校の先生が学級や教科を受け持つこと。,,,,
地域,ちいき,限られたはん囲の土地。区画された土地の区域。,,,,
遅刻,ちこく,決められた時刻よりおくれること。,,「遅」という漢字は、小学生では習いません。,,
知識,ちしき,物事についてわかっていることや、知っていること。,,,,
